['\n', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['10', 'Dark Tower Gunslinger Little\nSisters Of Eluria Prem HC', '', '$24.99', 'Marvel', '2,697']
['11', 'Batman Red Hood The Lost Days', '', '$14.99', 'DC', '2,520']
['12', 'Justice League Cry For Justice', '', '$19.99', 'DC', '2,442']
['13', 'X-Men Age Of X HC', '', '$29.99', 'Marvel', '2,406']
['14', 'Bleach Vol. 35', '', '$9.99', 'Viz', '2,289']
['15', 'Marvel Universe Vs Punisher', '', '$14.99', 'Marvel', '2,241']
['16', 'Planetary Batman Deluxe HC', '', '$22.99', 'DC', '2,231']
['17', 'Uncanny X-Men Quarantine', '', '$16.99', 'Marvel', '2,210']
['18', 'Generation Hope Futures A Four\nLetter Word', '', '$14.99', 'Marvel', '2,159']
['19', 'X-Force Sex And Violence', '', '$14.99', 'Marvel', '2,144']
['20', 'Deadpool Classic Vol. 5', '', '$29.99', 'Marvel', '2,143']
['21', 'Avatar Last Airbender Vol. 1 Lost\nAdventures', '', '$14.99', 'Dark Horse', '2,132']
['22', 'Incorruptible Vol. 4', '', '$16.99', 'Boom', '2,123']
['23', 'Wonder Woman HC Vol. 1 Odyssey', '', '$22.99', 'DC', '2,057']
['24', 'Fullmetal Alchemist Vol. 25', '', '$9.99', 'Viz', '2,028']
['25', 'Uncanny X-Force Prem HC Deathlok\nNation', '', '$19.99', 'Marvel', '2,027']
['26', 'Captain America No Escape', '', '$15.99', 'Marvel', '2,019']
['27', 'Osborn Evil Incarcerated', '', '$16.99', 'Marvel', '2,003']
['28', 'Hellboy Library Ed HC Vol. 4\nCrooked Man', '', '$49.99', 'Dark Horse', '1,999']
['29', 'Terry Moores Echo Vol. 6 Last Day', '', '$15.95', 'Abstract', '1,992']
['30', 'X-Men To Serve And Protect', '', '$14.99', 'Marvel', '1,931']
['31', 'Falling Skies', '', '$9.99', 'Dark Horse', '1,924']
['32', 'Preacher HC Book 04', '', '$39.99', 'DC', '1,921']
['33', 'Superman Chronicles Vol. 9', '', '$17.99', 'DC', '1,913']
['34', 'Red Robin Hit List', '', '$17.99', 'DC', '1,901']
['35', 'Deadpool Dead Head Redemption', '', '$15.99', 'Marvel', '1,895']
['36', 'Aliens Vs Predator Three World War', '', '$19.99', 'Dark Horse', '1,862']
['37', 'Legion Lost HC', '', '$39.99', 'DC', '1,838']
['38', 'Baltimore Plague Ships HC Vol. 1', '', '$24.99', 'Dark Horse', '1,794']
['39', 'Superman New Krypton Vol. 4', '', '$17.99', 'DC', '1,790']
['40', 'X-Men Second Coming Revelations', '', '$19.99', 'Marvel', '1,788']
['41', 'Ultimate Comics Spider-Man Prem HC\nDeath Prelude', '', '$24.99', 'Marvel', '1,786']
['42', 'Walking Dead Vol. 2 Miles Behind Us', '', '$14.99', 'Image', '1,735']
['43', 'Power Girl Bomb Squad', '', '$14.99', 'DC', '1,711']
['44', 'Batman Knight And Squire', '', '$14.99', 'DC', '1,698']
['45', 'Sixth Gun Vol. 2', '', '$19.99', 'Oni', '1,681']
['46', 'Disney Mickey Mouse HC Vol. 1 Death\nValley', '', '$29.99', 'Fantagraphics', '1,667']
['47', 'Girl Genius Vol. 10 Agatha H\n& Guardian Muse', '', '$22.95', 'Studio Foglio', '1,665']
['48', 'Captain America Red Menace Ultimate\nCollection', '', '$19.99', 'Marvel', '1,656']
