['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. preorders']
['1', "Superman: The\nWedding Album Collector's Edition", '$4.95', 'DC', '227,686']
['346', 'Six Steel Hearts', '1', '$2.95', 'Caliber', '3,016']
['347', 'Archie Andrews Where are You Digest', '109', '$1.79', 'Archie', '3,009']
['348', 'Demon Beast Invasion', '2', '$2.95', 'CPM', '3,003']
['349', 'Adventures of the Mask', '11', '$2.50', 'Dark Horse', '2,921']
['350', 'Stargate: Doomsday World', '1', '$3.50', 'Express', '2,881']
['351', 'Jughead with Archie Digest', '131', '$1.79', 'Archie', '2,860']
['352', 'Cell', '2', '$2.95', 'Antarctic', '2,847']
['353', 'Laugh Digest', '132', '$1.79', 'Archie', '2,779']
['354', 'A-Bomb', '15', '$2.95', 'Antarctic', '2,765']
['355', 'Robotech The Movie', '1', '$2.95', 'Academy', '2,725']
['356', 'Robotech the Movie', '2', '$2.95', 'Academy', '2,704']
['357', 'Genus', '21', '$2.95', 'Antarctic', '2,691']
['358', 'Stray Bullets (relist)', '1', '$2.95', 'El Capitan', '2,657']
['359', 'Vampire Bayne', '2', '$2.00', 'Comico', '2,616']
['360', 'Mars Attacks (relist)', '1', '$2.95', 'Topps', '2,616']
['361', 'Safety Belt Man All Hell', '6', '$2.95', 'Sirius', '2,609']
['362', 'Luxura Baby Angel X Special', '', '$2.95', 'Brainstorm', '2,603']
['363', 'Barr Girls', '1', '$2.95', 'Antarctic', '2,582']
['364', 'Fantastic Four Gold (Signed)', '1', '$25.00', 'Marvel', '1,948']
['365', 'Iron Man Gold (Signed)', '1', '$25.00', 'Marvel', '1,767']
['366', 'Avengers Gold (Signed)', '1', '$25.00', 'Marvel', '1,398']
['367', 'Captain America Gold (Signed)', '1', '$25.00', 'Marvel', '1,345']
['368', 'Angels of Destruction (Signed)', '', '$15.00', 'Marvel', '1,061']
['', '', '', '', '', '']
['', '', '', '', '', '']
['', '', '', '', '', '']
['', '', '', '', '', '']
['', 'Top Trade\nPaperbacks (not including Marvel, by total dollars; sales not reported)']
['', '', '', '', '', '']
['', 'Trade Paperback title', '', 'Price', 'Publisher', 'Est. preorders']
['1', 'Sandman: The Wake HC', '', '$29.95', 'DC', 'n/a']
['2', 'Wizards Tale', '', '$19.95', 'Image', 'n/a']
